+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_16-48-45

	inpoed array

331 643 0 0 
332 491 0 0 
332 490 0 0 
332 634 0 0 
332 646 0 0 
333 492 0 0 
333 491 0 0 
333 648 0 0 
333 810 0 0 
334 493 0 0 
334 492 0 0 
334 649 0 0 
334 801 0 0 
335 493 0 0 
335 494 0 0 
335 651 0 0 
335 797 0 0 
336 495 0 0 
336 494 0 0 
336 650 0 0 
336 812 0 0 
337 496 0 0 
337 495 0 0 
337 652 0 0 
337 813 0 0 
338 497 0 0 
338 496 0 0 
338 653 0 0 
338 814 0 0 
339 498 0 0 
339 497 0 0 
339 654 0 0 
339 815 0 0 
340 499 0 0 
340 498 0 0 
340 655 0 0 
340 816 0 0 
341 500 0 0 
341 499 0 0 
341 656 0 0 
341 817 0 0 
342 501 0 0 
342 500 0 0 
342 657 0 0 
342 818 0 0 
343 502 0 0 
343 501 0 0 
343 658 0 0 
343 819 0 0 
344 503 0 0 
344 502 0 0 
344 659 0 0 
344 820 0 0 
345 504 0 0 
345 503 0 0 
345 660 0 0 
345 821 0 0 
346 505 0 0 
346 504 0 0 
346 661 0 0 
346 822 0 0 
347 506 0 0 
347 505 0 0 
347 662 0 0 
347 823 0 0 
348 507 0 0 
348 506 0 0 
348 663 0 0 
348 824 0 0 
349 508 0 0 
349 507 0 0 
349 664 0 0 
349 825 0 0 
350 509 0 0 
350 508 0 0 
350 665 0 0 
350 826 0 0 
351 510 0 0 
351 509 0 0 
351 666 0 0 
351 827 0 0 
352 511 0 0 
352 510 0 0 
352 667 0 0 
352 828 0 0 
353 512 0 0 
353 511 0 0 
353 668 0 0 
353 829 0 0 
354 513 0 0 
354 512 0 0 
354 669 0 0 
354 830 0 0 
355 514 0 0 
355 513 0 0 
355 670 0 0 
355 831 0 0 
356 515 0 0 
356 514 0 0 
356 671 0 0 
356 832 0 0 
357 516 0 0 
357 515 0 0 
357 672 0 0 
357 833 0 0 
358 517 0 0 
358 516 0 0 
358 673 0 0 
358 834 0 0 
359 518 0 0 
359 517 0 0 
359 674 0 0 
359 835 0 0 
360 519 0 0 
360 518 0 0 
360 675 0 0 
360 836 0 0 
361 520 0 0 
361 519 0 0 
361 676 0 0 
361 837 0 0 
362 521 0 0 
362 520 0 0 
362 677 0 0 
362 838 0 0 
363 522 0 0 
363 521 0 0 
363 678 0 0 
363 839 0 0 
364 523 0 0 
364 522 0 0 
364 679 0 0 
364 840 0 0 
365 524 0 0 
365 523 0 0 
365 680 0 0 
365 841 0 0 
366 525 0 0 
366 524 0 0 
366 681 0 0 
366 842 0 0 
367 526 0 0 
367 525 0 0 
367 682 0 0 
367 843 0 0 
368 527 0 0 
368 526 0 0 
368 683 0 0 
368 844 0 0 
369 528 0 0 
369 527 0 0 
369 684 0 0 
369 845 0 0 
370 529 0 0 
370 528 0 0 
370 685 0 0 
370 846 0 0 
371 530 0 0 
371 529 0 0 
371 686 0 0 
371 847 0 0 
372 531 0 0 
372 530 0 0 
372 687 0 0 
372 848 0 0 
373 532 0 0 
373 531 0 0 
373 688 0 0 
373 849 0 0 
374 533 0 0 
374 532 0 0 
374 689 0 0 
374 850 0 0 
375 534 0 0 
375 533 0 0 
375 690 0 0 
375 851 0 0 
376 535 0 0 
376 534 0 0 
376 691 0 0 
376 852 0 0 
377 536 0 0 
377 535 0 0 
377 692 0 0 
377 853 0 0 
378 537 0 0 
378 536 0 0 
378 693 0 0 
378 854 0 0 
379 538 0 0 
379 537 0 0 
379 694 0 0 
379 855 0 0 
380 539 0 0 
380 538 0 0 
380 695 0 0 
380 856 0 0 
381 540 0 0 
381 539 0 0 
381 696 0 0 
381 857 0 0 
382 383 0 0 
382 542 0 0 
382 540 0 0 
382 697 0 0 
383 542 0 0 
384 542 0 0 
384 543 0 0 
384 702 0 0 
385 544 0 0 
385 543 0 0 
385 647 0 0 
385 811 0 0 
386 541 0 0 
386 544 0 0 
386 699 0 0 
386 701 0 0 
387 541 0 0 
387 545 0 0 
387 700 0 0 
387 703 0 0 
388 546 0 0 
388 545 0 0 
388 798 0 0 
388 858 0 0 
389 547 0 0 
389 546 0 0 
389 698 0 0 
389 859 0 0 
390 548 0 0 
390 547 0 0 
390 705 0 0 
390 860 0 0 
391 549 0 0 
391 548 0 0 
391 706 0 0 
391 861 0 0 
392 550 0 0 
392 549 0 0 
392 707 0 0 
392 862 0 0 
393 551 0 0 
393 550 0 0 
393 708 0 0 
393 863 0 0 
394 552 0 0 
394 551 0 0 
394 709 0 0 
394 864 0 0 
395 553 0 0 
395 552 0 0 
395 710 0 0 
395 865 0 0 
396 554 0 0 
396 553 0 0 
396 711 0 0 
396 866 0 0 
397 555 0 0 
397 554 0 0 
397 712 0 0 
397 867 0 0 
398 399 0 0 
398 557 0 0 
398 555 0 0 
398 713 0 0 
399 557 0 0 
400 557 0 0 
400 558 0 0 
400 718 0 0 
401 559 0 0 
401 558 0 0 
401 704 0 0 
401 868 0 0 
402 556 0 0 
402 559 0 0 
402 715 0 0 
402 717 0 0 
403 556 0 0 
403 560 0 0 
403 716 0 0 
403 719 0 0 
404 561 0 0 
404 560 0 0 
404 799 0 0 
404 869 0 0 
405 562 0 0 
405 561 0 0 
405 714 0 0 
405 871 0 0 
406 563 0 0 
406 562 0 0 
406 721 0 0 
406 870 0 0 
407 564 0 0 
407 563 0 0 
407 722 0 0 
407 872 0 0 
408 565 0 0 
408 564 0 0 
408 723 0 0 
408 873 0 0 
409 566 0 0 
409 565 0 0 
409 724 0 0 
409 874 0 0 
410 567 0 0 
410 566 0 0 
410 725 0 0 
410 875 0 0 
411 568 0 0 
411 567 0 0 
411 726 0 0 
411 876 0 0 
412 569 0 0 
412 568 0 0 
412 727 0 0 
412 877 0 0 
413 570 0 0 
413 569 0 0 
413 728 0 0 
413 878 0 0 
414 571 0 0 
414 570 0 0 
414 729 0 0 
414 879 0 0 
415 572 0 0 
415 571 0 0 
415 730 0 0 
415 880 0 0 
416 573 0 0 
416 572 0 0 
416 731 0 0 
416 881 0 0 
417 574 0 0 
417 573 0 0 
417 732 0 0 
417 882 0 0 
418 575 0 0 
418 574 0 0 
418 733 0 0 
418 883 0 0 
419 576 0 0 
419 575 0 0 
419 734 0 0 
419 884 0 0 
420 577 0 0 
420 576 0 0 
420 735 0 0 
420 885 0 0 
421 578 0 0 
421 577 0 0 
421 736 0 0 
421 886 0 0 
422 579 0 0 
422 578 0 0 
422 737 0 0 
422 887 0 0 
423 580 0 0 
423 579 0 0 
423 738 0 0 
423 888 0 0 
424 581 0 0 
424 580 0 0 
424 739 0 0 
424 889 0 0 
425 582 0 0 
425 581 0 0 
425 740 0 0 
425 890 0 0 
426 583 0 0 
426 582 0 0 
426 741 0 0 
426 891 0 0 
427 584 0 0 
427 583 0 0 
427 742 0 0 
427 892 0 0 
428 585 0 0 
428 584 0 0 
428 743 0 0 
428 893 0 0 
429 586 0 0 
429 585 0 0 
429 744 0 0 
429 894 0 0 
430 587 0 0 
430 586 0 0 
430 745 0 0 
430 895 0 0 
431 588 0 0 
431 587 0 0 
431 746 0 0 
431 896 0 0 
432 589 0 0 
432 588 0 0 
432 747 0 0 
432 897 0 0 
433 590 0 0 
433 589 0 0 
433 748 0 0 
433 898 0 0 
434 591 0 0 
434 590 0 0 
434 749 0 0 
434 899 0 0 
435 592 0 0 
435 591 0 0 
435 750 0 0 
435 900 0 0 
436 593 0 0 
436 592 0 0 
436 751 0 0 
436 901 0 0 
437 594 0 0 
437 593 0 0 
437 752 0 0 
437 902 0 0 
438 595 0 0 
438 594 0 0 
438 753 0 0 
438 903 0 0 
439 596 0 0 
439 595 0 0 
439 754 0 0 
439 904 0 0 
440 597 0 0 
440 596 0 0 
440 755 0 0 
440 905 0 0 
441 598 0 0 
441 597 0 0 
441 756 0 0 
441 906 0 0 
442 599 0 0 
442 598 0 0 
442 757 0 0 
442 907 0 0 
443 600 0 0 
443 599 0 0 
443 758 0 0 
443 908 0 0 
444 601 0 0 
444 600 0 0 
444 759 0 0 
